"id";"level";"dump_id";"detect_time";"updated_at";"device_id";"access_point_id";"short_event_id";"created_at"
"1 meter"
35768021;43;41593;"2014-03-17 16:18:02";"2014-03-17 17:14:51.940545";1821;17;7011407;"2014-03-17 17:13:10.427472"
35768020;46;41593;"2014-03-17 16:18:02";"2014-03-17 17:14:51.938796";1821;17;7011407;"2014-03-17 17:13:10.425747"
35768019;46;41593;"2014-03-17 16:18:02";"2014-03-17 17:14:51.936903";1821;17;7011407;"2014-03-17 17:13:10.424158"
35768018;46;41593;"2014-03-17 16:18:02";"2014-03-17 17:14:51.934888";1821;17;7011407;"2014-03-17 17:13:10.422717"
35768023;86;41593;"2014-03-17 16:18:02";"2014-03-17 17:14:51.944095";1821;17;7011407;"2014-03-17 17:13:10.430574"
35768022;48;41593;"2014-03-17 16:18:02";"2014-03-17 17:14:51.942283";1821;17;7011407;"2014-03-17 17:13:10.429089"
35768028;80;41593;"2014-03-17 16:18:05";"2014-03-17 17:14:51.953367";1821;17;7011407;"2014-03-17 17:13:10.438771"
35768026;44;41593;"2014-03-17 16:18:05";"2014-03-17 17:14:51.949141";1821;17;7011407;"2014-03-17 17:13:10.435227"
35768025;47;41593;"2014-03-17 16:18:05";"2014-03-17 17:14:51.947274";1821;17;7011407;"2014-03-17 17:13:10.433454"
35768024;48;41593;"2014-03-17 16:18:05";"2014-03-17 17:14:51.945408";1821;17;7011407;"2014-03-17 17:13:10.432053"
35768029;78;41593;"2014-03-17 16:18:05";"2014-03-17 17:14:51.955043";1821;17;7011407;"2014-03-17 17:13:10.440326"
35768027;44;41593;"2014-03-17 16:18:05";"2014-03-17 17:14:51.950859";1821;17;7011407;"2014-03-17 17:13:10.436972"
35768033;67;41593;"2014-03-17 16:18:07";"2014-03-17 17:14:51.96253";1821;17;7011407;"2014-03-17 17:13:10.447127"
35768032;44;41593;"2014-03-17 16:18:07";"2014-03-17 17:14:51.960836";1821;17;7011407;"2014-03-17 17:13:10.445676"
35768031;46;41593;"2014-03-17 16:18:07";"2014-03-17 17:14:51.959036";1821;17;7011407;"2014-03-17 17:13:10.443336"
35768030;46;41593;"2014-03-17 16:18:07";"2014-03-17 17:14:51.956989";1821;17;7011407;"2014-03-17 17:13:10.441848"
35768034;84;41593;"2014-03-17 16:18:07";"2014-03-17 17:14:51.964394";1821;17;7011407;"2014-03-17 17:13:10.448832"
35768035;48;41593;"2014-03-17 16:18:10";"2014-03-17 17:14:51.96621";1821;17;7011407;"2014-03-17 17:13:10.450359"
35768036;50;41593;"2014-03-17 16:18:10";"2014-03-17 17:14:51.968161";1821;17;7011407;"2014-03-17 17:13:10.451895"
35768037;47;41593;"2014-03-17 16:18:10";"2014-03-17 17:14:51.970087";1821;17;7011407;"2014-03-17 17:13:10.453313"
35768038;48;41593;"2014-03-17 16:18:10";"2014-03-17 17:14:51.971827";1821;17;7011407;"2014-03-17 17:13:10.454944"
35768039;85;41593;"2014-03-17 16:18:10";"2014-03-17 17:14:51.973601";1821;17;7011407;"2014-03-17 17:13:10.456439"
35768040;49;41593;"2014-03-17 16:18:12";"2014-03-17 17:14:51.975434";1821;17;7011407;"2014-03-17 17:13:10.458089"
35768044;49;41593;"2014-03-17 16:18:12";"2014-03-17 17:14:51.982826";1821;17;7011407;"2014-03-17 17:13:10.464082"
35768045;83;41593;"2014-03-17 16:18:12";"2014-03-17 17:14:51.984573";1821;17;7011407;"2014-03-17 17:13:10.465358"
35768043;48;41593;"2014-03-17 16:18:12";"2014-03-17 17:14:51.981043";1821;17;7011407;"2014-03-17 17:13:10.462571"
